,sentence,rating
250,It is an example of the complete disregard bureaucrats have for the practical implications of the regulations they issue.,1
583,"We Nebraskans rightly pride ourselves on the values of hard work, on the values of community life, on the proper value of the good stewardship of our precious resources.",2
796,"This commitment to wage equity has shown, once again, to be a sound business strategy and has shown that a business based on such values can provide a decent living for its staff and can contribute to the economic health of the community.",1
876,We can compete if we break down walls.,3
118,"Mr. Speaker, of all the rotten provisions tucked into this document--and I could go on and on and on--I find the most troubling to be the radical attack on people living in poverty.",1
931,We hope that they will finish their business by September--I mean January 18.,2
364,"For that reason, I am happy to rise in support of this legislation.",1
71,Here is what absolutely amazes me about--and I'm glad Senator Baucus mentioned this as a train wreck.,2
441,"Judgment in cases of impeachment shall not extend further than to removal from office, and disqualification to hold and enjoy any office of honor, trust or profit under the United States. But the party convicted shall nevertheless be liable and subject to indictment, trial, judgment and punishment, according to law.",2
243,"The fact is that, that committee has a duty that must be accomplished, and that is fund government enterprises, fund the dollars that we, through programs that this Congress and previous Congresses have adopted, fund those objectives we think are important for this country.",3
975,Right-wing legislators moved through legislation that would have ended collective bargaining as we know it in Ohio for public sector workers.,1
735,"As I think about Memorial Day, I wish we could, daily, see every heroic name across our walls here and recall the harrowing stories of the Second World War and the over 400,000 U.S. Army, Air Force, Navy, Marine, Coastguardsman, and each and every Merchant Marine who fought and died in Europe and in the Pacific and in Africa for the freedom of the entire world from being ruled by an evil and intolerant empire.",1
463,I don't fear the policies.,3
2,She broke barriers as an African-American and as a woman news anchor for WSB Television starting in 1975.,1
171,"I also want to show that it's not only in Orlando, in one part of the country, it's all over the country that pastors and religious groups are coming together to pray for us, to encourage us to move forward on comprehensive immigration reform.",3
872,"Under the law, Congress mandated that the Federal Emergency Management Agency comprehensive an affordability study to further evaluate any unintended consequences as a result of the changes.",4
184,"Why are we not taking care of these physicians who spend 8 years and hundreds of thousands of dollars to work to gain a degree because they are healers, they believe in it, they want to serve the public.",3
784,"However, nothing in this bill would have prevented that excessive murder of Ms. Steinle.",3
418,"Under the Contraband Cigarette Trafficking Act, violators face criminal penalties and fines.",1
936,"We acknowledge this may not be the intent of the drafters, but nonetheless it is our concern.",1
351,I would be happy to yield.,1
1000,"Mr. Speaker, if a Member of Congress can't get a straight respond from the VA, imagine what our veterans go through every single day.",4
616,"The bill itself, H.R. 3043, contains essential permitting and licensing reforms to ensure that renewable hydropower remains an important part of our all-of-the-above approach to energy, something that many of us on both sides of the aisle support.",1
974,"Apparently, the Republican strategy on the budget does not acknowledge arithmetic.",3
904,"It would also prevent individuals or organizations that provide comprehensive reproductive healthcare services from treating women enrolled in Medicaid, stripping women of their basic right to choose their own healthcare provider, and leaving thousands of women out in the cold.",1
309,I just want to say to any small business who worries about fair scheduling: We want to be in conversation with you.,2
680,"I start by bowing in humility to my God, hoping for wisdom and inspiration on a responsibility so big on my shoulders that we all share of course.",3
620,Breastfeeding has proven to have numerous health benefits for both mom and child.,3
611,"Members of the Prayer Caucus came here and stood, and because of that it's now written and engraved in the barriers over there.",2
111,"Let the Obama administration end what the Bush administration started and failed to do, and that is publish a rule that finalizes the rule that gives stakeholders the clarity they have been seeking for 14 years.",3
215,"And so when Superstorm Sandy comes again, will the east coast be prepared with the necessary flood walls and facilities to repel the flood?",1
957,"In a hearing in the Committee on Natural Resources, one of our witnesses was a rancher from my home State of Colorado, who eloquently talked about how the old system was not working and how this desperately needed new system had worked well in its limited implementation.",2
104,"Violence against Coptic Christians in Egypt is nothing new, and I fear that it will persist unless something is done to resolve the issue.",1
234,"Mr. Chairman, I am more than happy to work with my good friend from Minnesota as we move this process forward.",1
789,Now I want to add that we make a couple of other good reforms in this bill.,3
7,"Whether it is a mother-and-pop brick manufacturing company, an international steel manufacturing company, or a coal-fired power plant, they are all dealing with new and very costly new EPA rules.",4
864,"By sharing monetary intelligence with law enforcement, private industry, and its foreign counterparts, FinCEN supports monetary crime investigations throughout the world.",1
813,"We are keen on making that work, and the specifics of what the pay-for will be are currently under conversation.",1
972,"Just last week, another city in my district, Arvada, indicated four planned railway crossing improvements to establish crossing zones.",1
879,"As those who know who have been in captivity and as many of us have read, when you are in captivity, you are able to give your captors four basic--what they call the big four--pieces of information: your name, your rank, your serial number, and your date of birth.",2
232,"Finally at 22 weeks, Michelle and her mom secured an abortion with a provider, a doctor who could assume the costs.",2
664,"I  have received a letter from one of my volunteer fire departments just a few months ago that spoke about this bill, and it said that the provision that is hurting our firefighters could be devastating to fire departments.",1
81,The administration has issued a Statement of Administration Policy and indicated in there that the President's advisers would recommend a veto of this bill.,3
115,"Mr. Speaker, H.R. 4538 is a bill intended to better aid our law enforcement agencies, state and federal regulators, and agencies assisting seniors, to quickly respond to and prevent financial abuse of elders.",2
1032,When the economy is weak--employees and their families need more protection not less.,1
524,We are talking about permanent reforms to the Tax Code with no pay-fors.,1
965,"It is important that we do as much as we can to educate the public, to profit widespread support, to make sure that we have the support that is necessary to get more funding for research.",3
576,"The committee is confident that GAO, a nonpartisan portion of the legislative branch, will continue to vigorously preserve confidentiality regarding information it obtains.",1
329,How excessive.,1
541,"If anything, we should raise the bar for Trump, not make exceptions just because we are happy he didn't go with someone like Flynn.",1
265,"We don't know for sure, but probably likely by Wednesday or after. So, without comprehensive surety, I will say to the gentleman, likely a suspension debate on the floor on Tuesday.",4
628,"In every instance, the House of Representatives has fought to preserve these rights, but this serves to remind us that the struggle for freedom is never over, that we must always remain vigilant, and that freedom is but one generation from extinction.",1
694,"Unfortunately,  when I met Mr. Puckett, the conversation was not so optimistic.",1
488,"In the evacuation process, he and his wounded leader came under intense enemy attack.",1
999,It is important that we create the proper avenues for victims of sexual attack to avoid re-victimization through the legal process.,1
823,"The better way to respond the question--and the way President Reagan himself would approach such questions--is to understand Reagan's principles and how they should apply in today's politics, and review past decisions and consider what lessons they have for us.",4
435,"Sadly, last Friday evening, on November 13, 2015, France was similarly subjected to multiple acts of terror in Paris.",1
470,I would be glad to work with the gentleman on providing funding for this important program.,2
829,"I have fear that what we face is a situation in which we will arm folks who subsequently will take negative action against us;  however, when weighing the consequences of taking no action, as many of my colleagues have indicated, I think we have no choice but to move forward as this amendment is recommending and the President has requested.",2
334,"So the CFTC was able to power through the objections, and I would like for us to do the same thing, because what we have asked the CFTC to do is rational, straightforward stuff with respect to the changes at the operations of the committee itself.",1
316,"Both came and vigorously talked about the things which are aimed at our country: cyber threats, nation-states, nations such as China, North Korea, and others who are trying to invade our Internet here in the United States and to steal not only information and data, but also thoughts, ideas, and money.",3
401,"This amendment now is a placeholder, hopefully, for our discussion going forward dealing with the preservation of our museums.",2
296,"It lets us know if we are gaining or losing forestland, and it tells us if we have a net loss or net profit in trees and tree volume.",1
380,"Today, Senator Dean Heller, from my home State of Nevada, and Senator Jack Reed of Rhode Island, indicated that they will be working to pass another extension of unemployment insurance for those who need a financial lifeline and have lost their jobs at no fault of their own.",1
890,"Mr. Speaker, the reason we have found ourselves in a fiscal rut is because of outrageous, frivolous government spending.",1
887,"Not only do those activities provide our constituents with enjoyable hobbies and  pastimes, they also contribute to our communities by creating and supporting diverse jobs in every congressional district.",1
130,The fact is this will not elp us solve the basic issues underlying the GOP's repeal-and-replace bill.,1
145,The people before me have spoke so eloquently about our responsibility as Members of Congress to defend and protect our Nation.,4
55,"The economic reality is that few farm operators will risk their profitability, and the survival of their business, by delegating all responsibility to a labor contractor.",1
948,I have held the hand of a mom separated from her children in Chicago and listened to a father deported away from his children in North Dakota.,3
116,"Enshrining the unprecedented control over schools assumed by the Obama administration, rather than supporting the innovation occurring at the state and local level, is not the answer.",2
754,H.R. 3894 will help ensure that instances of child abuse and neglect are recognized and reported immediately by empowering appropriate military and civilian personnel in the Department of Defense with the skills and training need to recognize evidence of child abuse and neglect and to place on them an affirmative duty to report instances of suspected abuse or neglect promptly and directly to child protective agencies.,1
998,We maintain an ongoing dialogue with the intelligence community to ensure the law is being implemented in how it was intended.,2
255,"We must go after those individuals and those institutions that provide financial safe havens to these fear groups, and we have got to disrupt their financial networks.",2
550,Public and private employers and workers tell me that the tax will cost jobs and incomes across New Hampshire as they cope with higher taxes and premiums.,1
790,"The mother pled: I will pay, but give me a few seconds because my daughter is in the shower.",1
221,"With the threat from Iran continuing to grow, it is vital that Congress respond with prudent and effective action.",3
622,"We can enact better efficiency standards to make the resources we do have last longer, and we can end the billions of dollars in giveaways for Big Oil and finally level the playing field for all kinds of energy technology.",2
121,"Instead of doing more for those who have little, they are doing much for those who already control the greatest amount of prosperity ever in the handful of a few people since the 1400s, when the Spanish Empire was ripping off the Western Hemisphere.",4
907,"This is an extremely critical case, and I couldn't tell which judge asked the questions, but when the Supreme Court is, in effect, expressing concern through their questions that a corporation, a for-profit corporation, could not potentially have firmly  held religious beliefs, then it occurred to me, for Heaven's sake, this Justice Department doesn't seem to have a problem indicting corporations.",1
490,"What they really mean when they talk about  ""comprehensive immigration reform''--what they really mean--is ""amnesty.''",3
1023,We cannot afford to betray our own values and severely undercut our allies in Europe and Canada.,1
16,"Last week, the largest caucus here in the House of Representatives, the Congressional Sportsmen's Caucus, which is made up of Republicans and Democrats, had its normal yearly shoot, which consists of trap, skeet, and sporting clays, and I'm happy to say that this year the Republicans retained the trophy.",3
987,"For a region that is struggling to grow jobs and keep jobs, the threat of businesses in my district moving across the border isn't a theoretical policy conversation; it is a real threat.",1
842,"But if they take these steps, peace would bring extraordinary benefits in enhancing the security and the stability and the prosperity of Israelis, Palestinians, all of the nations of the region.",1
718,"On March 4, 2014, Internal Revenue Service workers in Martinsburg, West Virginia, magnetically erased 422 backup tapes, destroying as many as 24,000 of Lois Lerner's emails responsive to the subpoena.",2
33,"I yield myself 2 minutes, and I rise in support of providing critical emergency relief to respond to the catastrophic damages wreaked by Hurricane Harvey and the expectation of damages from Hurricane Irma.",1
59,"I ask the appropriators, who I know are very concerned, to come together to give us the emergency supplemental so that homes can be rebuilt, that homes can be bought out, and that, in fact, the infrastructure that is crumbling and caused the major flooding, that reservoir pools that flooded whole complete developments, can be fixed, that we can do infrastructure and save lives.",4
226,"For months, I talked with Representative Barton about the crude export issue.",1
853,"The trap that many of those people find themselves in is that they cannot refinance that debt because it is noncollateralized loans and that those who hold it in the public sector, in the Stafford student loan sector, again, cannot, by law, refinance down and take advantage of these low interest rates that the Federal Government is benefiting from because of monetary trends in markets that exist today.",2
192,They want the IRS to fail to respond the vast majority of customer service calls?,4
383,"This bill, yet again, attempts to balance the budget on the backs of the most vulnerable--our seniors, our children, those who are struggling--while not asking the most fortunate in our society to contribute anything more.",1
314,"In 4 short years, Mr. Chairman, we can be out of this discussion about debt and deficit and begin the discussion about freeing the next generation from the $16.7 trillion that you and I and previous Congresses have racked up on their behalf.",1
22,"Rather, we all suffer under a system in which innocent Americans everywhere live under the constant fear of a potentially bankrupting frivolous lawsuit.",2
249,"They are the kind of people I would want working in an auditing agency like Arthur Laffer has spoke about, because I know they would be fair, they are honest.",4
771,"I believe the most solemn responsibility of Federal policymakers is to keep the American people safe, and to do so in a way that is faithful to the moral and ethical principles that have made this country exceptional, and a force for good in a dangerous and unpredictable world.",1
949,"Madam Chair, I rise today in support of H.R. 1864, a bill that bolsters existing military whistleblower protection laws to clarify that victims of criminal sexual crimes are protected from punishment for reporting those crimes.",1
390,"But a lot more concrete, steel, and barbed wire, a lot more fencing, vehicle barriers, or whatnot, that will basically push the bad guys, the folks, the smugglers and others who want to come into this country, into corridors.",4
202,There are talks of boycotts and other types of things.,2
376,"This amendment also cuts funding for our veterans by $200 million, potentially endangering the quality of their care and making a statement that Congress is willing to go back on commitments to our vets.",1
833,"In Pennsylvania, there have been fewer cases than you can count on your fingers, yet up to a million people may be denied the right to vote because of these legal changes.",1
533,It must finish now.,3
156,"And, so now, we don't want them to respond some questions.",2
562,"This insane idea that somehow there is an endless amount of money to be thrown around the world for whatever reason possible and knowing that, really, the Paris protocol is nothing more than a discussion taking place in Paris.",1
668," understand that there are great challenges; but whatever the cost, whatever the cost to prevent a nuclear-armed Iran may be, it will pale in insignificance compared to the cost to our children and the entire human family of allowing the jihadist regime in Iran to profit nuclear weapons.",4
635,We have one of the lowest percentages of workers who are earning at or below the federal minimum wage.,2
251,These people in these local communities have a fundamental right to basic healthcare.,1
163,"For example, a U.S. military officer overseeing sexual assault prevention at Fort Hood in Texas is under investigation for his sexual assault of soldiers.",3
822,"Perhaps, most importantly, it is a question of principles.",2
325,"Surely, Congress can muster the courage to do our constitutional duty and debate and vote on a new AUMF within 8 months; if that is our decision.",2
127,"Yet, despite this power, current law specifically prevents Congress from fully auditing the financial policy actions the Fed takes that impact each of us on a daily basis.",1
633,"This debate, purely and simply, is about fiscal duty, about taking one tax provision and making it permanent without paying one dime for it.",1
613,"I traveled to Haiti on any number of occasions, visiting those who are incarcerated in jails, and even after the earthquake, to find individuals who were suffering and had been incarcerated and seeing people who had lost their place to live, children who were out of school, and resources that were looking to be directed but potentially, Mr. Speaker, not being directed as they should.",4
357,"No one, including Megan Kanka's parents or any of the other neighbors, knew that their neighbor across the street had been convicted twice and jailed for child sexual assault.",4
927,"If you are down here on the floor arguing that there is an insufficient number of doctors and they are not paid enough, then don't argue at the same time that it is too expensive and there are not enough cost controls; and please don't argue that there are not enough doctors because, in fact, the Affordable Care Act expanded the number of residencies for very fundamental care, for the family practice programs.",2
763,"On September 11 of this year, four Americans, including our United States ambassador, were killed in an assault at the Benghazi consulate.",1
774,He had a lifelong love of public spaces and actively worked to maintain parkland.,2
450,"All of this comes just days after President Obama has said, yet again, we do not have a complete strategy to defeat ISIS in Iraq or Syria.",2
557,"Instead of distinguishing between winners and losers and sowing division where it need not exist, we must acknowledge our shared goals and values with our allies around the world, because our commitment to democracy and diplomacy is what has always made our Nation great.",1
996,It also protects Second Chance funding while restoring funding to Department of Justice programs for citizens who are returning home from jail and prison with serious walls to employment.,2
971,"As we all know, we launched this bipartisan effort about a year and a half ago, and with tomorrow's House vote, we mark a very important milestone in our quest for 21st century cures,  one step closer to the end line.",3
707,"Mr. Speaker, back in the late 1990s, in the middle of what was called the dot-com boom, my predecessor, the then-majority leader of the House of Representatives, Richard Armey, came and talked to the Dallas Chamber of Commerce.",1
155,"I am here today speaking on behalf of single mom Sherry, cancer survivor Marty, star student Kelty, and little Gracie and her devoted grandmother Donna.",1
691,"Sergeant Moore was shot and killed in the line of duty May 5, 2015.",1
491,"While Congress has a responsibility to ensure that the reforms enacted under Dodd-Frank are clear and effective--and many may still require clarification from Congress--the bill under consideration today, H.R. 1526, is premature and potentially damaging.",3
158,A study published in the proceedings of the National Academy of Sciences combined agricultural and water models to gain a more realistic estimate of the impacts of climate change on food production.,2
242,"This is unjust, illegal, tragic, and unacceptable; and sadly, Mr. Speaker, this is but one of 31 separate cases involving American children wrongfully removed from the United States to Egypt.",1
183,"Also last month, the Justice Department seized a major website known for promoting illegal sex trafficking and indicted its owner.",1
76,"I thank the gentleman for yielding to me, and I ask if he would let me finish through.",3
443,"This is important because without accurate feedback, CMS could inadvertently move forward with a proposed change to the Medicare Advantage program that might negatively impact those seniors--again, like my mom and dad--who depend on these plans for access to their providers, to their doctors.",1
600,"Equality, justice, and opportunity for all cannot coexist in a society where bigotry, misogyny, anti-Semitism, and other kinds of hatred are accepted or even encouraged.",1
328,"Every Muslim leader must unequivocally proclaim that fear committed in the name of Islam violates the core tenets of the Prophet Mohammed, and they must do so repeatedly, period.",1
15,"Secondly, it creates the potential preconditions for when there is a security settlement in the Middle East that will allow these ancient faith traditions to reintegrate back into their homeland and continue to give to the once-rich tapestry that made up the Middle East.",3
886,"They want to pretend all day long that the discredited ""tax-cuts = revenue growth'' model will do wonders for America, while denying the fact that the economically proven model of ""investment = growth'' will bring the much needed wealth and  equality that our citizens desperately want and need.",3
1028,"And in talking about some of the world leaders who called him and expressed their concern, because they knew, as he said and as Leader Pelosi said: An assault on Steve Scalise was an assault on us all, and it was an assault on our democracy and an assault on peacefully resolving differences, no matter how strongly they may be held--a lesson for all of us.",2
582,I will welcome her if that trip occurs and will try to contribute to her the hospitality that she gave me when I visited her great nation last month.,3
106,This is an excessive burden.,1
825,What do you want to do about the single mother who works three jobs just to put food on the table so she could feed her family?,1
992,A number of Members from both sides of the aisle have expressed extreme discomfort and even outrage at the notion that a United States citizen apprehended on United States soil can potentially be held indefinitely under this act.,1
30,"During the Natural Resources Committee markup, a Democratic amendment added language to authorize tribes to seek the Secretary's technical assistance in developing a regulatory environmental review process for all types of leasing activity. ",1
425,"And so with that act having passed and controls put on outrageous speculation in the financial services industry, we have seen economic growth.",3
247,"A refusal to support this amendment simply shows that we will continue to go on the same old tired path of watching the best workers and the best entrepreneurs in the world be cheated out of their pursuit of prosperity, and us all be cheated out of a healthier, more vibrant economy.",1
433,"Our enemies continue to test us because they no longer fear us, Mr. Speaker.",1
280,"And the interim President right now is a former judge, so we had some things in common, as we talked not long ago there in Egypt.",3
399,"I don't think, nor do I think many of us believe, that Washington should be mired in mediocrity, nor should we be divided by class or income, but I do think we have to acknowledge several difficult truths.",1
197,Basing these forces in the U.S. rather than Europe will cost 10 to 20 percent less and preserve the flexibility and infrastructure for global operations necessary in today's world.,4
235,"However, as we all know, arbitrary regulations and excessive taxation unfairly punishes hardworking Americans and impedes our industrial capability.",1
650,"Having now been in the military for 19 years, it is very clear that their main criteria for military service is: Can you complete the mission?",1
623,"Higher expensing limits will encourage businesses to invest in new computers, tractors, and other types of business equipment and grow.",4
977,"Mutual respect means building bridges, not walls, between our two countries; it means recognizing the vast contributions of Mexican Americans to our country and not classifying an entire population as drug dealers and rapists; it means not singling out an esteemed judge based solely on his race.",1
92,"We can either choose to stand by the common sense changes that restored America's faith in elections after the Watergate scandal, or we can choose to cede the control of political campaigns entirely to wealthy corporations and interest groups.",1
605,"That bill set up what amounts to a new entitlement program for these four States, which will result in a massive transfer of prosperity from the Federal Government.",1
322,"I want to acknowledge former USAID Administrator, Rajiv Shah, who did tremendous work at USAID helping build the Lab into a world-class center of innovation, working toward new solutions to extreme poverty.",4
123,"Mr. Speaker, we should be fostering and growing participation in outdoor sporting activities, rather than trying to create regulatory walls that drive Americans away from them, which instill important lifelong values and principles.",1
1009,And it prohibits the Department of Transportation from consulting with the Environmental Protection Agency or the California Air Resources Board to complete the project.,2
901,"While strides have been made in establishing worldwide practice of freedom of religion, it is currently under attack.",1
224,"By supporting the right of the people of Ukraine to freely elect their government and have a say in their future, we are working toward ensuring all people around the world benefit from these fundamental--yet profoundly critical--rights.",1
267,A GAO study will allow an objective assessment of whether the rarely changed financial reserves imposed on depository institutions and consumers are necessary in order for the Federal Reserve to implement financial policy in the 21st century.,3
68,We mandated that not-for-profit hospitals create a community health needs assessment every 3 years and we created a Community Preventive Services Task Force.,2
426,"So to summarize, we need prosperity over austerity in this country.",1
492,The requirement that the ultimate parent of a treasury affiliate identify all wholly and majority-owned affiliates and ensure a majority qualify for the finish-user exception.,3
909,"That is not a reflection of the priorities of the American people; and that is why it is so difficult for us, who are ready, honestly-- honestly ready to work hand in glove, knowing we are not going to win every fight, but give us a chance to sit at the table and have a conversation about where we might find some common ground.",3
985,I recently received the first monthly update from the U.S. Department of Veterans Affairs since the indicated delays associated with the Lafayette and Lake Charles VA Community-based Outpatient Clinics.,2
755,"My friends, I understand we have a fundamental disagreement about how this country ought to be run, and I am glad that we have that debate here in this Chamber.",3
338,"While I will say over and over again that Obamacare is wrong for the American people, that it is wrong for hardworking Missourians and tha it is certainly wrong for the people of the Second District and that it needs to be replaced immediately before any more harmful provisions are implemented, at the very least, what the government can do is require that we report any security breaches on the Obamacare Web site to these innocent victims who, through no fault of their own, trusted a government that has once again possibly deceived them.",4
858,"I was somewhat sorry, but happy at the same time, for her to now be a member of the House Armed Services Committee.",1
736,"In 10, 15, 20, 30 years later when they go to replace it, well, the barriers are in, the windows are in, the people are in, the offices are  in.",4
797,"Last but not least, H.R. 4723 fulfills our duty as stewards of the tax dollars of hardworking Americans.",3
787,"Again, I would like to thank the gentleman from Oklahoma, Chairman Lucas, for his leadership and the gentleman from Florida, who just talked before, Congressman Steve Southerland, for their hard work on this issue.",1
19,"Those refinery workers, they are going to lose their jobs because we are going to allow the oil to be exported, so that it can be refined in a foreign nation by workers who are not paid commensurate to what we are paid over here, and then we are going to import our own oil back into our country at a higher price.",3
196,"Through this program, these young people profit self-confidence, problem-solving skills, and the ability to work as part of a team--traits that are valued by employers and institutions of higher education.",2
634,Including these types of spending floors and mandates in bill language limits the Department's flexibility to answer decisively to immigration challenges and is likely to waste taxpayer dollars for no good reason.,1
880,"""We're seeing beyond the normal damage,'' said Steve Eisenhauer, a regional director with the Natural Lands Trust, which has a 7,000-acre preserve in the area ""We see the problems getting worse.''",4
18,"As you can see, Mr. Speaker, under current law, if we don't make necessary reforms, we are going to be spending more on interest alone on the national debt than we are on all defense issues combined.",1
555,"We were told that my wife was uninsurable for 10 years because she had been treated for depression a few years ago, when our daughter was diagnosed with cerebral palsy and we were told she would require spinal cord surgery to potentially       walk.",3
643,"There is more left to be done, more to do, and our reform efforts will not be complete or complete until we make real investments in our mental health system.",4
403,"In fact, reduced mercury explained none of the purported future reduction in deaths, heart attacks, and asthma, and less than 0.01% of the financial benefits.",3
1003,"""They said that they want to finish off the black people; they said they want to kill them all,'' recalled Elizabeth Kafi, a 22-year-old Nuban who said she was kidnapped in December by Sudanese uniformed soldiers.",1
870,"Think about that military mom or dad that's getting ready to deploy and they're an hourly wage employee, and they don't have, under the current law, the option to exercise compensatory time.",2
41,What happens when you combine a larger workload with fewer workers?,1
298,"Yesterday, this gentleman that I am going to introduce, the sponsor of the bill, Bill Johnson, a 26-year veteran of the United States Air Force, came up to the Rules Committee and had one of the most delightful conversations on a bipartisan basis with other Democrats and Republicans and spoke about the attributes of jobs and this natural resource.",2
165,This is a very important place to recognize a group of heroes who defied expectations and really cemented a legacy of heroism that all Americans can be proud of.,3
983,Amtrak claims that it is running a profit on a heavily traveled Northeast corridor.,1
730,This bill is an assault on workers.,1
198,"I wish you continued strength and wealth as you leave this House of Representatives, this house of the people, and return to your family and friends and constituents in Michigan.",1
436,"I am pleased to see there is funding to hire more full-time employees, but we still need more workers in order for the VA to answer faster.",1
594,The fundamental goal of this law was to discourage development along fragile and shifting coastal walls by prohibiting participation within the National Flood Insurance Program and to deny certain Federal development subsidies.,3
72,It is a special honor to represent the great people of the Second District of Florida and to fight for their conservative values in Congress.,1
580,"As we indicate, the President supports the underlying legislation and the gentleman indicated that he may be looking for some amendments to the bill, but I would assume quite candidly he would not be looking for this amendment.",1
779,My mom is dead because her health care was in England.,3
651,"Second of all, to look at technology as the answer, we should also be looking at addressing our ports of entry, addressing the very, very real need of understaffing among Customs agents that are essential both to security and the flow of goods and services, trade, and economic development.",1
299,It will also acknowledge that he was our fellow colleague in the United States Congress.,1
1035,This amendment allows Congress to receive a more complete picture of the regional office's workload.,1
454,"The Senate voted for it 98-0, and the House voted 390-33 in favor of the Voting Rights Act, which lets us know that this is a fundamental right that most Americans believe.",1
947,I want comprehensive immigration reform.,1
99,"My dad remarried a year after my mom died in 1991, and they've been a blessing to both of us and to our children.",4
333,This bill fits squarely within the authority by bringing uniformity to cases of de minimis presence by interstate workers in order to reduce compliance costs.,2
934,His service to our country did not finish after his time in the House.,1
77,That's why we support the CLASS program--to contribute millions of working Americans a new option to take personal responsibility and help plan and pay for these essential services.,4
29,"Although there is little to object to in H.R. 5471, particularly since it codifies what the Department of Homeland Security is already doing, it is important to state, on the record, that it offers little response to the Orlando attack.",3
701,"We need to have borders that are controlled, not just because of the issue of  immigration or criminal immigration, but because of the threat in a period of asymmetric warfare or an asymmetric threat where those who  are committed to do us harm are not just nation states but maybe  transnational terrorist organizations or maybe those that have been known as lone wolves who are incited by, inspired by, and committed to the values that have been expressed by those terrorist organizations who spread their venom around the world seeing who might be attracted  to it.",3
142,We must ensure that the passage of time does not allow us to forget that the Cyprus issue is the result of an criminal invasion and ongoing occupation.,4
502,"Once again, I apologize, Mr. Chairman, because this one is a little fundamental.",1
686,"The answer is an emphatic no, he cannot.",1
877,"Get this: OC has the highest graduation rate of any community college in the State of Washington as 90 percent of students who enter a trades program at OC complete it, and 100 percent are placed in jobs.",1
625,"In other words, they have got to stand up to the criminal syndicates in some of these countries.",1
