original,updated/copied,status,notes,grammar_issue_flag
"That shutdown lasted 16 days, cost the economy $24 billion, and  inflicted untold harm on federal employees and the people they serve.","That shutdown lasted 16 days, cost the economy $24 billion, and inflicted untold harm on federal employees and the people they serve.",done,,
,,,,
"From day one, Tom has been one of my best friends here, and I don't  think there has ever been a day that we have been in Congress that I  haven't spoke to Tom.","From day one, Tom has been one of my best friends here, and I don't think there has ever been a day that we have been in Congress that I haven't spoke to Tom.",review,spoken to tom,1
,,,,
"I would like to point out something that is not getting enough  attention, as the media seems to be driven over issues like charge of  misdemeanor attack on a reporter, or a Russian connection, these kind  of things.","I would like to point out something that is not getting enough attention, as the media seems to be driven over issues like charge of misdemeanor, attack on a reporter, or a Russian connection, these kind of things.",done,,
,,,,
Basing these forces in the U.S. rather than Europe will cost 10 to 20  percent less and maintain the flexibility and infrastructure for global  operations necessary in today's world.,Basing these forces in the U.S. rather than Europe will cost 10 to 20 percent less and maintain the flexibility and infrastructure for global operations necessary in today's world.,done,,
,,,,
"Although there is little to object to in H.R. 5471, particularly  since it codifies what the Department of Homeland Security is already  doing, it is important to state on the record that it offers little  response to the Orlando attack.","Although there is little to object to in H.R. 5471, particularly since it codifies what the Department of Homeland Security is already doing, it is important to state, on the record, that it offers little response to the Orlando attack.",done,,
,,,,
"During the Natural Resources Committee markup, a Democratic amendment  added language to authorize tribes to seek the Secretary's technical  assistance in developing a regulatory environmental review process for  all types of leasing activity.","During the Natural Resources Committee markup, a Democratic amendment added language to authorize tribes to seek the Secretary's technical assistance in developing a regulatory environmental review process for all types of leasing activity. ",done,,
,,,,
We were told that my wife was uninsurable for 10 years       because she had been treated for depression a few years ago       when our daughter was diagnosed with cerebral palsy and we       were told she would require spinal cord surgery to possibly       walk.,We were told that my wife was uninsurable for 10 years because she had been treated for depression a few years ago when our daughter was diagnosed with cerebral palsy and we were told she would require spinal cord surgery to possibly walk.,done,,
,,,,
"With the threat from Iran continuing to grow, it is vital that  Congress answer with prudent and effective action.","With the threat from Iran continuing to grow, it is vital that Congress answer with prudent and effective action.",done,,
,,,,
" I yield myself 2 minutes, and I rise in  support of providing critical emergency relief to respond to the  catastrophic damages wreaked by Hurricane Harvey and the expectation of  damages from Hurricane Irma.","I yield myself 2 minutes, and I rise in support of providing critical emergency relief to respond to the catastrophic damages wreaked by Hurricane Harvey and the expectation of damages from Hurricane Irma.",done,,
,,,,
"Of the 92 victims of that attack on that day, 23 were  children.","Of the 92 victims of that attack on that day, 23 were children.",done,,
,,,,
"This legislation is about making sure that the rising worker, whether  they are brand-new in the marketplace or whether they are an  entrepreneur, or a mother or a father out in the marketplace looking  for a job, will find the ability to be successful.","This legislation is about making sure that the rising worker, whether they are brand-new in the marketplace, or whether they are an entrepreneur, or a mother or a father out in the marketplace looking for a job, will find the ability to be successful.",done,,
,,,,
"Again, for the mother  who's sitting at that kitchen table.","Again, for the mother who's sitting at that kitchen table.",done,,
,,,,
The fundamental goal of this law was to discourage development along  fragile and shifting coastal barriers by prohibiting participation  within the National Flood Insurance Program and to deny certain Federal  development subsidies.,The fundamental goal of this law was to discourage development along fragile and shifting coastal barriers by prohibiting participation within the National Flood Insurance Program and to deny certain federal development subsidies.,done,,
,,,,
"As the world's fastest growing and third largest criminal enterprise,  it is shocking how little people know about this horrendous practice.","As the world's fastest growing and third largest criminal enterprise, it is shocking how little people know about this horrendous practice.",done,,
,,,,
"That is not a reflection of the priorities of the American people;  and that is why it is so difficult for us, who are ready, honestly-- honestly ready to work hand in glove, knowing we are not going to win  every fight, but give us a chance to sit at the table and have a  discussion about where we might find some common ground.","That is not a reflection of the priorities of the American people, and that is why it is so difficult for us who are ready, honestly-- honestly ready to work hand in glove, knowing we are not going to win every fight, but give us a chance to sit at the table and have a discussion about where we might find some common ground.",done,,
,,,,
"Mr. Speaker, back in the late 1990s, in the middle of what was called  the dot-com boom, my predecessor, the then-majority leader of the House  of Representatives, Richard Armey, came and spoke to the Dallas Chamber  of Commerce.","Mr. Speaker, back in the late 1990s, in the middle of what was called the dot-com boom, my predecessor, the then majority leader of the House of Representatives, Richard Armey, came and spoke to the Dallas Chamber of Commerce.",done,,
,,,,
What happens when you  combine a larger workload with fewer workers?,What happens when you combine a larger workload with fewer workers?,done,,
,,,,
" last week, the largest caucus here in the  House of Representatives, the Congressional Sportsmen's Caucus, which  is made up of Republicans and Democrats, had its normal yearly shoot,  which consists of trap, skeet, and sporting clays, and I'm glad to say  that this year the Republicans retained the trophy.","Last week, the largest caucus here in the House of Representatives, the Congressional Sportsmen's Caucus, which is made up of Republicans and Democrats, had its normal yearly shoot, which consists of trap, skeet, and sporting clays, and I'm glad to say that this year the Republicans reta",done,,
,,,,
"Under the law, Congress mandated that the Federal Emergency  Management Agency complete an affordability study to further evaluate  any unintended consequences as a result of the changes.","Under the law, Congress mandated that the Federal Emergency Management Agency complete an affordability study to further evaluate any unintended consequences as a result of the changes.",done,,
,,,,
Right-wing legislators moved through legislation that would  have ended collective bargaining as we know it in Ohio for public  sector employees.,Right-wing legislators moved through legislation that would have ended collective bargaining as we know it in Ohio for public sector employees.,done,,
,,,,
"Under the Contraband Cigarette Trafficking Act, violators face  illegal penalties and fines.","Under the Contraband Cigarette Trafficking Act, violators face illegal penalties and fines.",done,,
,,,,
All of us may never see eye to eye on what kinds of research should  be supported by the Federal Government.,All of us may never see eye to eye on what kinds of research should be supported by the Federal Government.,done,,
,,,,
"In every instance, the House of Representatives has fought to  maintain these rights, but this serves to remind us that the struggle  for freedom is never over, that we must always remain vigilant, and  that freedom is but one generation from extinction.","In every instance, the House of Representatives has fought to maintain these rights, but this serves to remind us that the struggle for freedom is never over, that we must always remain vigilant, and that freedom is but one generation from extinction.",done,,
,,,,
"Mr. Speaker, there are fundamental problems with flood insurance.","Mr. Speaker, there are fundamental problems with flood insurance.",done,,
,,,,
"Mutual respect means building bridges, not  barriers, between our two countries; it means recognizing the vast  contributions of Mexican Americans to our country and not classifying  an entire population as drug dealers and rapists; it means not singling  out an esteemed judge based solely on his race.","Mutual respect means building bridges, not barriers, between our two countries; it means recognizing the vast contributions of Mexican Americans to our country and not classifying an entire population as drug dealers and rapists; it means not singling out an esteemed judge based solely on his race.",done,,
,,,,
It also protects Second Chance  funding while restoring funding to Department of Justice programs for  citizens who are returning home from jail and prison with serious  barriers to employment.,It also protects Second Chance funding while restoring funding to Department of Justice programs for citizens who are returning home from jail and prison with serious barriers to employment.,done,,
,,,,
This effort by Speaker Ryan and the Republican leadership to halt a  fair and open debate in the people's House is outrageous.,This effort by Speaker Ryan and the Republican leadership to halt a fair and open debate in the People's House is outrageous.,done,,
,,,,
"But the leap from  saying that most undocumented women are vulnerable to assault and  saying most undocumented men are rapists is, as he might say himself,  huge.","But the leap from saying that most undocumented women are vulnerable to assault and saying most undocumented men are rapists is, as he might say himself, huge.",done,,
,,,,
"I would also like to  acknowledge the work of our Senate partners, Lamar Alexander and Dianne  Feinstein.",I would also like to acknowledge the work of our Senate partners: Lamar Alexander and Dianne Feinstein.,done,,
,,,,
It must end now.,It must end now.,done,,
,,,,
The economic reality is that few farm operators will risk       their profitability and the survival of their business by       delegating all responsibility to a labor contractor.,"The economic reality is that few farm operators will risk their profitability, and the survival of their business, by delegating all responsibility to a labor contractor.",done,,
,,,,
"The respond is an emphatic no, he  cannot.","The respond is an emphatic, ""no, he cannot.""",review,respond to response,1
,,,,
"So I say to my fellow Democrats, if cutting SNAP or other programs  that help poor people is the price of admission to get anything done,  any piece of major legislation passed, then we have strayed very, very  far from our principles.","So I say to my fellow Democrats: if cutting SNAP or other programs that help poor people is the price of admission to get anything done, any piece of major legislation passed, then we have strayed very, very far from our principles.",done,,
,,,,
Some people have asked a question that I don't have a  really good answer for.,Some people have asked a question that I don't have a really good answer for.,done,,
,,,,
"I ask the appropriators, who I know are very concerned, to come  together to give us the emergency supplemental so that homes can be  rebuilt, that homes can be bought out, and that, in fact, the  infrastructure that is crumbling and caused the major flooding, that  reservoir pools that flooded whole complete developments, can be fixed,  that we can do infrastructure and save lives.","I ask the appropriators, who I know are very concerned, to come together to give us the emergency supplemental so that homes can be rebuilt, that homes can be bought out, and that, in fact, the infrastructure that is crumbling and caused the major flooding, that reservoir pools that flooded whole complete developments, can be fixed, that we can do infrastructure and save lives.",review,"""we can do infastructure""",1
,,,,
"The monetary cliff was approached, and we went over it.","The monetary cliff was approached, and we went over it.",done,,
,,,,
" Mr. Chairman, I am glad to yield 3 minutes to the  gentleman from Michigan (Mr. Walberg), the chairman of the Subcommittee  on Workforce Protections.","Mr. Chairman, I am glad to yield 3 minutes to the gentleman from Michigan, Mr. Walberg, the chairman of the Subcommittee on Workforce Protections.",done,,
,,,,
It is our ability to produce the technology that America needs in  order to make our people competitive and to produce the wealth that is  necessary for a decent standard of living that has made America the  great country that it is.,It is our ability to produce the technology that America needs in order to make our people competitive and to produce the wealth that is necessary for a decent standard of living that has made America the great country that it is.,done,,
,,,,
"It really raises an interesting question, and I haven't seen this in  the President's fiat, the royal decree that he made, I haven't seen if  he is providing amnesty for every employer that hires someone who is  here illegally because the President is saying, basically, ``I'm giving  you amnesty, so you can go work wherever you want to,'' but as the law  makes clear in section 1324 of volume 8 of the United States Code, it  is illegal to hire someone that is illegally in the country.","It really raises an interesting question, and I haven't seen this in the President's fiat, the royal decree that he made. I haven't seen if he is providing amnesty for every employer that hires someone who is here illegally because the President is saying, basically, “I'm giving you amnesty, so you can go work wherever you want to,'' but as the law makes clear in section 1324 of volume 8 of the United States Code, it is illegal to hire someone that is illegally in the country.",done,,
,,,,
"Also last month, the Justice Department seized a major Web site known  for promoting criminal sex trafficking and indicted its owner.","Also last month, the Justice Department seized a major website known for promoting criminal sex trafficking and indicted its owner.",done,,
,,,,
"Mr. Speaker, I will insert into the Record a letter dated January 30  from the American Action Forum, which is an organization run by former  CBO Director Douglas Holtz-Eakin--and I won't go into detail--but he  basically wrote to express his complete support of H.R. 3581, the  Budget and Accounting Transparency Act of 2014, for the   very reasons that we have set forth here already.","Mr. Speaker, I will insert into the record a letter dated January 30, from the American Action Forum, which is an organization run by former CBO Director Douglas Holtz-Eakin--and I won't go into detail--but he basically wrote to express his complete support of H.R. 3581, the Budget and Accounting Transparency Act of 2014, for the very reasons that we have set forth here already.",review,jan 30 to 30th?,
,,,,
Here is what absolutely amazes me about--and  I'm happy Senator Baucus mentioned this as a train wreck.,Here is what absolutely amazes me about--and I'm happy Senator Baucus mentioned this as a train wreck.,review,not a complete sentence,1
,,,,
With leadership comes  duty.,With leadership comes duty.,done,,
,,,,
"We mandated that not-for-profit hospitals create a community health  needs assessment every 3 years, and we created a Community Preventive  Services Task Force.",We mandated that not-for-profit hospitals create a community health needs assessment every 3 years and we created a Community Preventive Services Task Force.,done,,
,,,,
"It's  a path to wealth, and I urge my colleagues to support it.","It's a path to wealth, and I urge my colleagues to support it.",done,,
,,,,
"Think about that military mother or dad that's  getting ready to deploy and they're an hourly wage employee, and they  don't have, under the current law, the option to exercise compensatory  time.","Think about that military mother or dad that's getting ready to deploy, and they're an hourly wage employee and they don't have, under the current law, the option to exercise compensatory time.",done,,
,,,,
Here is what absolutely amazes me about--and  I'm glad Senator Baucus mentioned this as a train wreck.,Here is what absolutely amazes me about--and I'm glad Senator Baucus mentioned this as a train wreck.,review,not a complete sentence,1
,,,,
It is a  special honor to represent the great people of the Second District of  Florida and to fight for their conservative values in Congress.,It is a special honor to represent the great people of the Second District of Florida and to fight for their conservative values in Congress.,done,,
,,,,
"Through this program, these young people gain  self-confidence, problem-solving skills, and the ability to work as  part of a team, traits that are valued by employers and institutions of  higher education.","Through this program, these young people gain self-confidence, problem-solving skills, and the ability to work as part of a team--traits that are valued by employers and institutions of higher education.",done,,
,,,,
"It really raises an interesting question, and I haven't seen this in  the President's fiat, the royal decree that he made, I haven't seen if  he is providing amnesty for every employer that hires someone who is  here criminally because the President is saying, basically, ``I'm giving  you amnesty, so you can go work wherever you want to,'' but as the law  makes clear in section 1324 of volume 8 of the United States Code, it  is criminal to hire someone that is criminally in the country.","It really raises an interesting question, and I haven't seen this in the President's fiat, the royal decree that he made. I haven't seen if he is providing amnesty for every employer that hires someone who is here criminally because the President is saying, basically, “I'm giving you amnesty, so you can go work wherever you want to,'' but as the law makes clear in section 1324 of volume 8 of the United States Code, it is criminal to hire someone that is criminally in the country.",done,,
,,,,
"The better way       to answer the question--and the way President Reagan himself       would approach such questions--is to understand Reagan's       principles and how they should apply in today's politics, and       review past decisions and consider what lessons they have for       us.","The better way to answer the question, and the way President Reagan himself would approach such questions, is to understand Reagan's principles and how they should apply in today's politics, and review past decisions and consider what lessons they have for us.",done,,
,,,,
" I thank the gentleman for yielding to me,  and I ask if he would let me finish through.","I thank the gentleman for yielding to me, and I ask if he would let me finish through.",done,,
,,,,
That's why we support the CLASS program--to contribute millions       of working Americans a new option to take personal       responsibility and help plan and pay for these essential       services.,That's why we support the CLASS program--to contribute millions of working Americans a new option to take personal responsibility and help plan and pay for these essential services.,done,,
,,,,
Such  conditions can frequently lead or at least contribute to unnecessary  violence.,"Such conditions can frequently lead, or at least contribute to, unnecessary violence.",done,,
,,,,
And it  prohibits the Department of Transportation from consulting with the  Environmental Protection Agency or the California Air Resources Board  to comprehensive the project.,And it prohibits the Department of Transportation from consulting with the Environmental Protection Agency or the California Air Resources Board to comprehensive the project.,review,comprehensive as verb,1
,,,,
The basic division here is whether we guarantee that funds will  be available for the people I just described or whether we do not.,The basic division here is whether we guarantee that funds will be available for the people I just described or whether we do not.,done,,
,,,,
The administration has issued a Statement of Administration Policy  and indicated in there that the President's advisers would recommend a  veto of this bill.,The administration has issued a Statement of Administration Policy and indicated in there that the President's advisers would recommend a veto of this bill.,done,,
,,,,
What the gentleman from Arizona failed to acknowledge is  that the system simply doesn't work--missing its target more than half  the time.,What the gentleman from Arizona failed to acknowledge is that the system simply doesn't work--missing its target more than half the time.,done,,
,,,,
``We've focused       on the home heating season because this is when we can make       behavioral changes to improve our air quality.,We've focused on the home heating season because this is when we can make behavioral changes to improve our air quality.,done,,
,,,,
"The courts already possess and exercise their powers of remittitur to  set aside outrageous jury verdicts, and that is the appropriate solution  rather than an arbitrary cap.","The courts already possess and exercise their powers of remittitur to set aside outrageous jury verdicts, and that is the appropriate solution rather than an arbitrary cap.",done,,
,,,,
It is important that ORR operate transparently given its       role in re-settling thousands of criminal aliens who crossed       our Southern border last summer.,It is important that ORR operate transparently given its role in re-settling thousands of criminal aliens who crossed our southern border last summer.,done,,
,,,,
"Together, we can strive to end  domestic violence abuse in our communities.","Together, we can strive to end domestic violence abuse in our communities.",done,,
,,,,
He wanted to contribute me  a ticket for my sign.,He wanted to contribute me a ticket for my sign.,review,he wanted to contribute to me a ticket for my sign,1
,,,,
"Higher expensing limits will encourage businesses to invest in new  computers, tractors, and other kinds of business equipment and grow.","Higher expensing limits will encourage businesses to invest in new computers, tractors, and other kinds of business equipment, and grow.",done,,
,,,,
it is with great sadness that I stand here  today to remark on the Supreme Court's terrible decision to roll back  one of the most effective safeguards to Americans' basic right to  vote.,It is with great sadness that I stand here today to remark on the Supreme Court's terrible decision to roll back one of the most effective safeguards to Americans' basic right to vote.,done,,
,,,,
"From day one, Tom has been one of my best friends here, and I don't  think there has ever been a day that we have been in Congress that I  haven't talked to Tom.","From day one, Tom has been one of my best friends here, and I don't think there has ever been a day that we have been in Congress that I haven't talked to Tom.",done,,
,,,,
"He then goes about building the more modern transportation systems  that we need, expanding our highway program, but also the rail systems,  the inner city rail, the inter-city rails, and the street cars and  other kinds of mass transportation systems; very, very important.","He then goes about building the more modern transportation systems that we need, expanding our highway program, but also the rail systems, the inner city rail, the inter-city rails, and the street cars and other kinds of mass transportation systems; very, very important.",done,,
,,,,
We can either choose to stand by the  commonsense changes that restored America's faith in elections after  the Watergate scandal or we can choose to cede the control of political  campaigns entirely to wealthy corporations and interest groups.,"We can either choose to stand by the common sense changes that restored America's faith in elections after the Watergate scandal, or we can choose to cede the control of political campaigns entirely to wealthy corporations and interest groups.",done,,
,,,,
"While Congress has a responsibility to ensure that the reforms  enacted under Dodd-Frank are clear and effective--and many may still  require clarification from Congress--the bill under consideration  today, H.R. 1526, is premature and possibly damaging.","While Congress has a responsibility to ensure that the reforms enacted under Dodd-Frank are clear and effective, and many may still require clarification from Congres, the bill under consideration today, H.R. 1526, is premature and possibly damaging.",done,,
,,,,
" And to respond, and I will riff a little, the cost is  minimal in terms of the medical costs.","And to respond, and I will riff a little, the cost is minimal in terms of the medical costs.",done,,
,,,,
We must  recognize that this bloodshed will not stop.,We must recognize that this bloodshed will not stop.,done,,
,,,,
"You are going to  find out what we owe, what we are going to owe, what we have promised  is greater than the current prosperity of the entire world--every asset in  the world.","You are going to find out what we owe, what we are going to owe, what we have promised, is greater than the current prosperity of the entire world--every asset in the world.",done,,
,,,,
"When her husband, Paul Galanti, was shot down and taken as a prisoner  of war in North Vietnam in June 1966, Phyllis did not respond with terror  but, instead, became a tireless advocate for American POWs around the  world.","When her husband, Paul Galanti, was shot down and taken as a prisoner of war in North Vietnam in June 1966, Phyllis did not respond with terror but, instead, became a tireless advocate for American POWs around the world.",done,,
,,,,
The exempt Americans are a combination of illegal       immigrants and those with incomes too low to pay income tax.,The exempt Americans are a combination of illegal immigrants and those with incomes too low to pay income tax.,done,,
,,,,
"My dad remarried a year after  my mom died in 1991, and they've been a blessing to both of us and  to our children.","My dad remarried a year after my mom died in 1991, and they've been a blessing to both of us and to our children.",done,,
,,,,
And why is it okay that  Americans' home equity has dropped 35 percent during 2007-2009 thereby  affecting the very income prosperity that the majority of middle class  Americans did have and yet not help to lift our economy by raising the  minimum wage?,"And why is it okay that Americans' home equity has dropped 35 percent during 2007-2009, thereby affecting the very income prosperity that the majority of middle class Americans did have, and yet not help to lift our economy by raising the minimum wage?",done,,
,,,,
"The SEC's mission is to protect investors, preserve efficient  markets, and facilitate capital formation.","The SEC's mission is to protect investors, preserve efficient markets, and facilitate capital formation.",done,,
,,,,
"As the world's fastest growing and third largest illegal enterprise,  it is shocking how little people know about this horrendous practice.","As the world's fastest growing and third largest illegal enterprise, it is shocking how little people know about this horrendous practice.",done,,
,,,,
"It's been interesting to see how, literally, every denomination, every  faith group, has come together and said that we must have comprehensive  immigration reform because of the values that they have, as religious  people and religious groups, but also, more importantly, the religious  values that we share as Americans.","It's been interesting to see how, literally every denomination, every faith group, has come together and said that we must have comprehensive immigration reform because of the values that they have, as religious people and religious groups, but also, more importantly, the religious values that we share as Americans.",done,,
,,,,
"Violence against Coptic Christians in Egypt  is nothing new, and I fear that it will persist unless something is  done to resolve the issue.","Violence against Coptic Christians in Egypt is nothing new, and I fear that it will persist unless something is done to resolve the issue.",done,,
,,,,
I'm glad that we're  going to have consensus on that today.,I'm glad that we're going to have consensus on that today.,done,,
,,,,
It is for those  who found the Solyndra default to be excessive.,It is for those who found the Solyndra default to be excessive.,done,,
,,,,
"Yesterday, this gentleman that I am going to introduce, the sponsor of  the bill, Bill Johnson, a 26-year veteran of the United States Air  Force, came up to the Rules Committee and had one of the most  delightful conversations on a bipartisan basis with other Democrats and  Republicans and talked about the attributes of jobs and this natural  resource.","Yesterday, this gentleman that I am going to introduce, the sponsor of the bill, Bill Johnson, a 26-year veteran of the United States Air Force, came up to the Rules Committee and had one of the most delightful conversations on a bipartisan basis with other Democrats and Republicans and talked about the attributes of jobs and this natural resource.",done,,
,,,,
"We should be more faithful so  that when a country like Nigeria begs help to deal with radical Islam  and Boko Haram, we should not have to hear from a Catholic bishop in  Nigeria that the Obama administration is demanding that they change  their laws to embrace same-sex marriage against their religious  beliefs, appropriate for abortion even when it violates their religious  beliefs, chide the leader of Kenya or other countries to contribute up their  religious beliefs, and follow the amoral teaching of whoever happens to  be in charge in America.","We should be more faithful so that when a country like Nigeria begs help to deal with radical Islam and Boko Haram, we should not have to hear from a Catholic bishop in Nigeria that the Obama administration is demanding that they change their laws to embrace same-sex marriage against their religious beliefs, appropriate for abortion even when it violates their religious beliefs, chide the leader of Kenya or other countries to contribute up their religious beliefs, and follow the amoral teaching of whoever happens to be in charge in America.",done,,
,,,,
He put the responsibility on President Obama.,He put the responsibility on President Obama.,done,,
,,,,
"This bill brings together government agencies, including the national  labs, the energy and manufacturing industries, unions, schools,  community colleges and universities, among others, and promotes  cooperation and collaboration to ensure that we are tapping into a  wealth of underutilized talent and are training and preparing workers  for the energy and manufacturing jobs of the present and also of the  future.","This bill brings together government agencies, including the national labs, the energy and manufacturing industries, unions, schools, community colleges and universities, among others, and promotes cooperation and collaboration to ensure that we are tapping into a wealth of underutilized talent, and are training and preparing workers for the energy and manufacturing jobs of the present and also of the future.",done,,
,,,,
"Let the Obama administration  end what the Bush administration started and failed to do, and that  is publish a rule that finalizes the rule that gives stakeholders the  clarity they have been seeking for 14 years.","Let the Obama administration end what the Bush administration started and failed to do, and that is publish a rule that finalizes the rule that gives stakeholders the clarity they have been seeking for 14 years.",done,,
,,,,
It is  the role of Congress and our lack of fulfilling our constitutional  responsibility.,It is the role of Congress and our lack of fulfilling our constitutional responsibility.,review,,
,,,,
"Mr. Speaker, we are in a place in history here where I am happy to see  that the Trump administration understands what needs to happen in Cuba.","Mr. Speaker, we are in a place in history here where I am happy to see that the Trump administration understands what needs to happen in Cuba.",done,,
,,,,
"As those who know who have been in captivity and as many of us have  read, when you are in captivity, you are able to give your captors four  fundamental--what they call the big four--pieces of information: your name,  your rank, your serial number, and your date of birth.","As those who know who have been in captivity and as many of us have read, when you are in captivity, you are able to give your captors four fundamental--what they call the big four--pieces of information: your name, your rank, your serial number, and your date of birth.",done,,
,,,,
"Mr. Speaker, H.R. 4538 is a bill intended to better aid our law  enforcement agencies, State and Federal regulators, and agencies  assisting seniors to quickly respond to and prevent financial abuse of  elders.","Mr. Speaker, H.R. 4538 is a bill intended to better aid our law enforcement agencies, state and federal regulators, and agencies assisting seniors, to quickly respond to and prevent financial abuse of elders.",done,,
,,,,
"Enshrining the unprecedented control over schools assumed by the  Obama administration, rather than supporting the innovation occurring  at the State and local level, is not the answer.","Enshrining the unprecedented control over schools assumed by the Obama administration, rather than supporting the innovation occurring at the state and local level, is not the answer.",done,,
,,,,
